image_path,mask_path,precision,recall,f1_score,iou,mae,mse
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n04392985_4980.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n04392985_4980.png,0.9865333605389404,0.9855279249901033,0.9860303871673132,0.9724456958975776,0.03247633948922157,0.006479683797806501
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00064789.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00064789.png,0.6059775157771873,0.8249346771248625,0.698703783316787,0.5369290573484711,0.13168226182460785,0.08633089065551758
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n03764736_5050.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n03764736_5050.png,0.9665271966542758,0.921542553194967,0.9434989818923012,0.8930412371179965,0.018344571813941002,0.010121838189661503
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n02281787_1600.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n02281787_1600.png,0.9697643397072084,0.9338471419410437,0.9514669018853008,0.9074266694423252,0.0695500522851944,0.025141719728708267
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n01667114_3486.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n01667114_3486.png,0.9895929390068556,0.9456193353481166,0.967106535333888,0.9363081141725501,0.041707150638103485,0.020759504288434982
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n03642806_20309.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n03642806_20309.png,0.967290702566604,0.9665790856545814,0.9669347648915559,0.9359861591702017,0.08286982774734497,0.02880905009806156
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n03770439_71.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n03770439_71.png,0.8646913580313733,0.8545632015688355,0.8595974553996839,0.7537666810265276,0.04122750461101532,0.02451569214463234
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00008956.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00008956.png,0.9279938390478246,0.8909426987101315,0.9090909140922634,0.8333333333390963,0.033190637826919556,0.021784529089927673
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2013_test_00000934.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2013_test_00000934.png,0.9081245254435745,0.9731489015481571,0.9395129647282175,0.8859259259343759,0.025248726829886436,0.006528281606733799
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n06874185_27683.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n06874185_27683.png,0.9160935350871948,0.9638205499328769,0.9393512021063517,0.8856382978875481,0.010883285664021969,0.0034882023464888334
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n04037443_7302.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n04037443_7302.png,0.9150306748492322,0.9647477360942837,0.939231741269913,0.8854259424195481,0.039989955723285675,0.017318345606327057
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00006656.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00006656.png,0.9737142857152871,0.8155711550792734,0.8876541128984464,0.7980018732501404,0.04562196880578995,0.03151369094848633
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000355.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000355.png,0.8450016281392054,0.8301343570111921,0.8375020268108793,0.7204330927340246,0.06990817189216614,0.04602484405040741
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00097930.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00097930.png,0.9721932568657562,0.941750841752803,0.9567299492436172,0.9170491803305886,0.020061036571860313,0.013408249244093895
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n07714571_769.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n07714571_769.png,0.9854807223037397,0.9966683119447598,0.9910429452372719,0.9822449227777909,0.012989982031285763,0.004523076117038727
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00011561.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00011561.png,0.9887500000001758,0.8182053271293224,0.8954294666630791,0.8106584678476728,0.1063678190112114,0.06312312185764313
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2013_test_00005560.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2013_test_00005560.png,0.9887566137568616,0.7226877215642493,0.8350400394313222,0.7167971871549177,0.12178613245487213,0.07973036915063858
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/sun_aodzjszmksvzawms.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/sun_aodzjszmksvzawms.png,0.786620164873389,0.7364203027643749,0.7606929484158019,0.6138050470112097,0.22347187995910645,0.1548387110233307
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/sun_aiuoybkhchztkeve.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/sun_aiuoybkhchztkeve.png,0.9201266713591352,0.9171148000944923,0.9186182714094364,0.8494856524109421,0.1502421647310257,0.06652741879224777
