epoch,train_loss,val_loss,train_precision,train_recall,train_f1_score,train_iou,train_mae,train_mse,val_precision,val_recall,val_f1_score,val_iou,val_mae,val_mse
1,0.7772337454174637,0.7980828652643177,0.5440239996869959,0.5791840603383962,0.5610537570402362,0.38990595059973293,0.26844458570174123,0.1349459176763482,0.503593542388501,0.7482162609442488,0.6020034293041296,0.43061864130312183,0.29734296708890834,0.14947356896041192
2,0.7140396622561533,0.7536341139715012,0.6042405415072883,0.5922911756336705,0.598206224971143,0.426743353920925,0.22679963190074362,0.12104313758535122,0.5281568390826922,0.7870380657933842,0.6321185611655467,0.4621149920759398,0.26422183042111463,0.14212184817823645
3,0.6841548193047899,0.6863555581602332,0.6277672477747899,0.6208289912461591,0.6242788721917939,0.453782976670502,0.2124107745262461,0.11482792632568867,0.6007300600936462,0.7026140972506304,0.6476899046212958,0.4789506984062285,0.22023873714959785,0.12034789554468572
4,0.6606940263345701,0.6692614706411754,0.6451830823245074,0.6456161602283543,0.6453995760965213,0.4764501207496889,0.2014125847050903,0.10989312205839595,0.6781826066342238,0.600445923563773,0.6369512178408147,0.46729888505525063,0.20059246549459353,0.11010540843214074
5,0.6453369907939106,0.6891779613821474,0.6549752660258634,0.6591188073093317,0.6570405301537866,0.4892481910580752,0.19490028303697568,0.10664722937509555,0.5670168652185433,0.8026160460801891,0.6645530308749676,0.4976258957185744,0.23453407765251316,0.12524761183008756
6,0.6322919314279469,0.6758430555258712,0.6650680590808735,0.6706223663111004,0.6678336891067778,0.5013140223637316,0.18914311638665857,0.10403403769392486,0.5842675681023102,0.791140800023657,0.6721464524442697,0.5061901726879133,0.2211675246896809,0.12284513598639671
7,0.6215164223723455,0.6329868858399457,0.673338290966184,0.6779426007231011,0.6756326255627926,0.5101549633080353,0.18445638980887352,0.10178315516458739,0.7148518675259353,0.6124033369338189,0.6596737155470598,0.4921739467005521,0.18406529050983794,0.10327571431455547
8,0.6114823800708176,0.6440283807173167,0.681836720790733,0.6826111172731479,0.6822237225661462,0.5177082778782743,0.18066981099067478,0.09976117690221979,0.6061675671881636,0.7999179251550909,0.689693935108745,0.5263609166618981,0.20946489805228088,0.11374270022936063
9,0.6029636147700318,0.625488939146473,0.6866216570728928,0.6920523256811978,0.6893263180680668,0.5259328032483771,0.17688824243501786,0.09799931954079812,0.6848424266968446,0.6714276722149357,0.678068731083281,0.5129379349102331,0.18386180341651995,0.1037887892086212
10,0.597013008682006,0.60986837193574,0.69042482511982,0.696304043258269,0.6933519934455419,0.530634077517847,0.17444802810292726,0.09693403504036982,0.6850051419822125,0.6995548828484663,0.6922035861874414,0.5292899910716322,0.1845100592464617,0.10084144199547702
11,0.5913424358346047,0.6178824544361193,0.6951189961941475,0.6989654231880288,0.6970369250728111,0.5349628896842512,0.17210836210928926,0.09562776067388166,0.6388400614917208,0.7781627151720661,0.7016521631650002,0.5404192242058405,0.19460913375632405,0.10635243034730218
12,0.5851392214013896,0.6366302052589312,0.7012084829652901,0.7026226171779865,0.7019148590488566,0.5407309614677052,0.1693307773891939,0.09435474104290709,0.6217993624654672,0.7869458883952375,0.6946926233332613,0.5322061320919106,0.20300508719192792,0.1118458389011148
13,0.5804495006088817,0.6072817379481172,0.7037093557965087,0.7059950687051048,0.7048503801456196,0.5442231051988353,0.16759542840063024,0.093457703744873,0.6356082745259132,0.7983765577756305,0.7077547118926031,0.5476937597406603,0.19145101635423425,0.10502605778101372
14,0.5748034751087153,0.5938721272635133,0.7075621809855633,0.7111349431504953,0.7093440838400525,0.5495996595305459,0.16522929222758756,0.09230839446050311,0.6922445730809379,0.7217979722316459,0.7067124613172171,0.5464464847175847,0.17174982718408924,0.09833812685555791
15,0.57042233379609,0.5852389213157027,0.7099074720217263,0.7149851329781303,0.712437275458819,0.5533223590054878,0.16373651218250257,0.09147556658458272,0.6754623304561266,0.7662115738971554,0.717980769250528,0.5600389771949226,0.17864176539117343,0.09760208767264673
16,0.566894324810133,0.5854168411803572,0.7135967643537589,0.7164697937608424,0.7150304130004692,0.5564570470921085,0.161951439834516,0.09068077399096358,0.6639783082679461,0.7895336876469765,0.7213332365347953,0.5641291594946505,0.17715186125611607,0.09948548143857146
17,0.5639112347856574,0.5918110055874471,0.7163280827488585,0.718252331591707,0.717288936348738,0.5591975667380924,0.1606416003857184,0.09008666492930247,0.6868649178386307,0.7329439332935831,0.7091567131205383,0.5493747293650486,0.18087465259922694,0.09690172914160441
18,0.5622654708809809,0.5938718719025181,0.7169748558226408,0.7177771882217674,0.7173758173832059,0.5593031820152802,0.160338268274561,0.08984006285120588,0.6989677990550487,0.7045544146813651,0.7017500095646326,0.5405353221629979,0.1761006774151162,0.09749914340879003
19,0.5567972800491053,0.5701696499161524,0.7193713372318273,0.7233496716503675,0.7213550385832994,0.5641558291319504,0.15825753327356565,0.08870644175678218,0.6986241433864923,0.7505792727864123,0.7236704101834385,0.5669933425334959,0.16699778610100485,0.0941623785367159
20,0.5559690388408276,0.575518716892151,0.7230018236490986,0.7226023124132339,0.7228020320013738,0.5659279298000869,0.1574064805748266,0.08842840830667303,0.7378216575745663,0.6826374742452128,0.7091576463266223,0.5493758494867493,0.16031464378107085,0.09290890204273675
21,0.5522393055793342,0.604272748713624,0.7245547405270216,0.7258739831964014,0.7252137808459231,0.5688904854998043,0.1561820293211062,0.08768308473836392,0.6232584701301775,0.8387800506158094,0.7151340788190423,0.5565826260167577,0.19295989517887976,0.10599651680111069
22,0.5507461594332249,0.5929938201626687,0.7250977591291826,0.7263557946076723,0.7257262505689426,0.5695214401415114,0.1554264874961398,0.08748239722957304,0.6668360536486173,0.7660318111705143,0.7130003496096421,0.554001951956346,0.18400533323826856,0.09874532269696666
23,0.5474533691318757,0.5783460511736673,0.7253961039110642,0.7298023280252182,0.7275925638411762,0.5718235478202888,0.154618282279837,0.08683706381999025,0.6996278561678135,0.7379791936684124,0.7182919912738356,0.5604177829943987,0.17379098620316755,0.09442884748010602
24,0.5435346623954423,0.5674030697100783,0.731095148311241,0.730299433721422,0.7306970928148553,0.5756679982709397,0.15278491277486905,0.0859370150287217,0.6791947556378026,0.7864881374520711,0.7289143298342616,0.5734580428692059,0.17344974353909492,0.09417863049837824
25,0.5424015812698855,0.5774019346253513,0.7310456197595324,0.7315353146442636,0.7312904035954484,0.5764048579010647,0.15229995889401218,0.08573575636389058,0.6685388969229286,0.8022477844943974,0.7293156366117307,0.573954971555537,0.16940988605357196,0.09879031111422466
