epoch,train_loss,val_loss,train_precision,train_recall,train_f1_score,train_iou,train_mae,train_mse,val_precision,val_recall,val_f1_score,val_iou,val_mae,val_mse
1,1.1054115180794253,1.1215637685501412,0.5351282488295129,0.658312069577802,0.5903628359539433,0.4188047834666162,0.25795237311529456,0.13780567320661807,0.4979516358587109,0.7718123308494368,0.6053490924794579,0.43405058903553323,0.27589364227366775,0.15515347570180893
2,1.007352706751692,0.9971191580981424,0.6027097102887691,0.6664141938361897,0.6329631373984891,0.4630183079940759,0.21094292764269978,0.12223665768400245,0.5814230252092929,0.7436330394259448,0.6525993885665005,0.48433950831896744,0.21662807832025502,0.12808839793074622
3,0.9597345556906604,0.9724786273420674,0.6293093466273862,0.6899053217903218,0.658215671450326,0.49055248211484614,0.194792523241918,0.11498393750518834,0.5848357263076981,0.7609705664015538,0.6613771881471218,0.4940728222304835,0.2060929006093169,0.1257892984845867
4,0.9255030345916748,0.9425996064323269,0.6474224254052786,0.7066563552148036,0.6757438255173345,0.5102817735512307,0.18384166528325563,0.10968399185653127,0.6056144460685242,0.7750690042466588,0.6799429681979909,0.5150860278729809,0.19661856371245973,0.11844008553722134
5,0.9033210149598778,0.9289343961297649,0.6592042183187269,0.7167655804422972,0.6867809311797963,0.5229751172654963,0.17735158237842244,0.1061994390367368,0.6060596931698251,0.7863803918177854,0.6845443188413791,0.5203856687853512,0.19863135459488385,0.11702224576514061
6,0.8834056387910055,0.9973661364757851,0.6692218492931221,0.7255910852760591,0.6962674507397765,0.5340569411490461,0.17130451426593535,0.10333147158316516,0.544500135900351,0.8627170536922718,0.6676290953118985,0.5010834877200095,0.2225080279454793,0.14176410329464365
7,0.8669057954998192,0.8988007172329785,0.6774951449551433,0.7325763277531743,0.7039599478040249,0.5431621609324899,0.1664942082899426,0.10081415667993213,0.6960862443889322,0.6778589217641289,0.6868517002827365,0.5230571944671036,0.16965306514542397,0.10427310812759073
8,0.8538761129510513,0.9097905342709528,0.6863096519054065,0.7357534100319171,0.710171995510107,0.5505943129127494,0.16283478519785294,0.09879562585725697,0.6150144011266634,0.7974457116565565,0.6944487955792837,0.5319199737922758,0.19007279708573263,0.11522206801870098
9,0.8446232264195014,0.8973142966015698,0.6897741238551801,0.7406230417356846,0.7142947934945395,0.5555665161886959,0.16034987210133753,0.09755609489362174,0.6537087048167762,0.7485397218505038,0.6979176269670039,0.5360011074043507,0.17499941720129691,0.10827346855442818
10,0.8360742191437187,0.8680256119329636,0.6950371980129622,0.7436365585805589,0.7185160384295,0.5606905973393662,0.15770559484258703,0.09631461765788017,0.6878705628163969,0.7255311008557408,0.7061991141001668,0.5458328941211839,0.1673242794222211,0.10129959388852935
11,0.8291256256278502,0.8663290853369726,0.7000477562165863,0.7447994235208801,0.7217305559961166,0.5646153314921234,0.15582404958545615,0.09511492254810595,0.6380062134188081,0.8170226005988078,0.7165019755467508,0.5582415644863722,0.17424594855880085,0.10875983041239111
12,0.8205007665529164,0.8936379984633563,0.7033480333367995,0.74898974994869,0.7254517336201414,0.5691833907687175,0.15321623900067916,0.09384844238058143,0.6262596466834465,0.8022948252079108,0.7034311935391364,0.5425328436183462,0.1816449122988198,0.11352698183427118
13,0.8122271651303002,0.8713405879393016,0.7082728485202816,0.7523053684270812,0.7296253957358337,0.574338753422354,0.15097696682181927,0.09258467675075618,0.6475424882812948,0.782663167434926,0.708719990674533,0.5488507171270999,0.1736349060825289,0.1074462696297528
14,0.8045141746363509,0.8454515195056184,0.7107448877318182,0.756705149693289,0.7330053034831566,0.5785385501436047,0.14910944695866435,0.0915890047856427,0.6684447790879472,0.7827270084032658,0.7210859536740563,0.5638267291605435,0.16367748517492045,0.10159089156005481
15,0.797766647404487,0.8261280149629672,0.7140890464433688,0.7600176292094001,0.7363378597618361,0.5827015054154356,0.14727837365154825,0.09058259178192243,0.6806679545431983,0.7822433850676671,0.7279293065212309,0.5722396412499654,0.15883179631543487,0.09873606580985736
16,0.7943521818983446,0.8347263499482037,0.7172325580453938,0.7587669560900191,0.737415389089436,0.5840522326474964,0.1463334019851247,0.09015512046463993,0.67990913904078,0.7786996513163136,0.7259589092017844,0.5698080579596153,0.15914157390186232,0.09990561107964549
17,0.7914970142469494,0.8484743225247893,0.7194899504082137,0.7591170502786744,0.738772509080074,0.5857567222273623,0.14539864862730745,0.08955047564222178,0.6413733983829883,0.8242414460942562,0.7213990132423758,0.5642096251915567,0.17116508490010485,0.10546544214634046
18,0.7879579820545441,0.8391241316925989,0.7201290258375693,0.7609844121278952,0.739993254178215,0.5872930670946112,0.14473329524381445,0.08912402022322384,0.679886992579482,0.7728632427896691,0.7233998891928973,0.566661285111979,0.16193372276547838,0.09944470561020179
19,0.7812689822748167,0.8317288356284572,0.7228720820076022,0.7655252675655341,0.7435875332267328,0.5918339124039661,0.14269790459116666,0.08812048795026377,0.683994513000024,0.7732618568358469,0.7258940730556502,0.5697281742267568,0.16008104404358015,0.09887321813874049
20,0.7778001290942551,0.8263843578018554,0.7263285809690485,0.7656572935698276,0.7454746023588501,0.5942283644187673,0.14154687389868115,0.087476383688253,0.7174678099677216,0.7325728716653204,0.7249416851346099,0.5685556863783127,0.15018196995944194,0.09551325246487578
