image_path,mask_path,precision,recall,f1_score,iou,mae,mse
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00064789.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00064789.png,0.4783165990284487,0.8357596118015768,0.6084239428526993,0.4372192931178047,0.19178371131420135,0.12172387540340424
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n03764736_5050.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n03764736_5050.png,0.6090643274968109,0.9233156028402786,0.7339676001748998,0.5797383801953871,0.11616405844688416,0.05782163888216019
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n02281787_1600.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n02281787_1600.png,0.35274050490441805,0.33204881183189794,0.34208214284829286,0.2063323134334664,0.3588756322860718,0.259096622467041
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n01667114_3486.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n01667114_3486.png,0.9967796931237587,0.6623867069528904,0.7958859685935766,0.660972239672642,0.16641683876514435,0.11312657594680786
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n03642806_20309.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n03642806_20309.png,0.8669671603365491,0.7075144508701259,0.7791666806950021,0.638225255976126,0.26378968358039856,0.16529205441474915
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n03770439_71.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n03770439_71.png,0.401963889787711,0.619326500750643,0.487514456653978,0.32232664467050226,0.1947585940361023,0.11885993182659149
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/ILSVRC2012_test_00008956.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/ILSVRC2012_test_00008956.png,0.8110661268640997,0.6665434380899615,0.7317370311531002,0.5769600000135373,0.11894360184669495,0.05447021499276161
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2013_test_00000934.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2013_test_00000934.png,0.4995483288392255,0.8999186330431311,0.6424629939104163,0.4732563115330229,0.08279229700565338,0.04416482150554657
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n06874185_27683.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n06874185_27683.png,0.04620811290842299,0.1895803184964428,0.07430555430413646,0.03858615614024783,0.2198798656463623,0.12029129266738892
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Image/n04037443_7302.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TR/DUTS-TR-Mask/n04037443_7302.png,0.5950396825477174,0.9699223803373246,0.7375799479111668,0.5842587181066772,0.1440689116716385,0.09887444227933884
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00006656.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00006656.png,0.6031746031830015,0.909380982772515,0.7252831330695368,0.5689758434903378,0.1721855252981186,0.09507628530263901
/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00000355.jpg,/Users/nafiesallahu/Documents/Nafja's Doc/Genpact/salient-object-detection-cnn/data/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00000355.png,0.38660968662716216,0.4341010876700544,0.4089813860754377,0.25705626066950077,0.25436538457870483,0.1526794731616974
