epoch,train_loss,val_loss,train_precision,train_recall,train_f1_score,train_iou,train_mae,train_mse,val_precision,val_recall,val_f1_score,val_iou,val_mae,val_mse
1,0.7636628717457482,0.7397669223073411,0.5533372133308972,0.6062639705516736,0.5785927812787072,0.40705627671273487,0.26414905347955336,0.13302707887570792,0.555747759838211,0.6856910885624348,0.6139187704728198,0.4429168453628455,0.2542368916616048,0.1321604054880469
2,0.6917454976335577,0.6861446936653085,0.6194398620514451,0.6286649042232308,0.6240183210100899,0.45350769327278034,0.21836924128029325,0.11719624516887402,0.5995004892467077,0.7091281160552675,0.649722416742538,0.48117689662654717,0.22405841936395593,0.12009410090642432
3,0.6589193355709041,0.7180626935338321,0.6456999676248195,0.6540090545176401,0.6498279778667151,0.48129269997054847,0.2029060017843859,0.11038730193168746,0.550417361015204,0.7789027103963136,0.6450238754576293,0.4760407392860146,0.24411220736291311,0.13129123785112
4,0.6344159103096079,0.6435927679277447,0.6648543253560727,0.6738758579136687,0.6693347188541386,0.5030075490912305,0.19176832148788173,0.10523493227608707,0.6344789752611497,0.7264474987556641,0.67735574187682,0.5121223653811876,0.19957517893755272,0.10983901113679964
5,0.6184202168840881,0.644024838527588,0.6766039331566568,0.6867784087315147,0.6816532299055776,0.5170515147800896,0.1849691361298255,0.10180013379099172,0.6123217823793273,0.7732021599303642,0.6834216660995065,0.5190892283371672,0.20950106490556508,0.11236013426151994
6,0.6039832786682549,0.6659798658873937,0.6849437106622512,0.6997912018077587,0.6922878791083985,0.5293885665376625,0.17876666857015103,0.09900449761556923,0.5768307610030384,0.8279870069069226,0.6799577884146895,0.5151030383197954,0.21677341597945723,0.1228444213430359
7,0.5927636484706074,0.6160000297304702,0.693742868073102,0.7079047574488182,0.7007522900552896,0.5393523127474928,0.17389567475800122,0.0966030371735949,0.7307599710993318,0.6234904971038642,0.672876878684041,0.5070191540437791,0.17242027630340562,0.10021808927189814
8,0.5835293794771947,0.6380240988649734,0.7010265996950232,0.7117246443331613,0.7063351373829193,0.5459954317827009,0.17043897812519598,0.09478603442327692,0.6089414651737414,0.8096550168472976,0.6950990415356174,0.5326833458774024,0.2064258578705461,0.11255206973993614
9,0.5779307133779613,0.6124812315588128,0.7039500296779125,0.717162415936155,0.7104948239887559,0.5509825052352989,0.16804972962501946,0.09367169785390206,0.7167939449574885,0.6538990703411027,0.6839035506962905,0.5196454378502943,0.17340452918042876,0.09926714329686884
10,0.5721442347710286,0.5931827615793437,0.7078839788656951,0.7205259198701346,0.7141490265189111,0.5553901736056888,0.1657694610105742,0.09256850259019694,0.7101399335275413,0.6896849571414333,0.6997630173544775,0.5381811113690368,0.17242570063226845,0.097065497776621
11,0.5666673468777893,0.600315124204714,0.7137528197490068,0.722873250452433,0.7182841041510593,0.5604081808444801,0.16340394917431228,0.09127982548617442,0.6445162052845436,0.8037663035272941,0.7153858711456785,0.5568877256456676,0.18393586223868474,0.10406407946082827
12,0.5609357364899522,0.6477581297289835,0.7172731259011617,0.7291435497836691,0.7231596480017048,0.5663665131589035,0.16067558038125343,0.09008209948692847,0.5968194380058222,0.8302589613679279,0.6944463628880301,0.5319171195632708,0.20946824499597289,0.11647645797427386
