epoch,train_loss,val_loss,train_precision,train_recall,train_f1_score,train_iou,train_mae,train_mse,val_precision,val_recall,val_f1_score,val_iou,val_mae,val_mse
1,0.8698252495275725,0.6943839484289901,0.6082912557809022,0.6640893721687089,0.6349668763031633,0.46516588004062126,0.2361830821496631,0.1208132182075343,0.6954738285171501,0.7865489543745423,0.7382129775859894,0.585053528427491,0.16030172192274708,0.09421036976759564
2,0.6740575939362202,0.6458316871972933,0.7247685862004795,0.7508480575316657,0.737577880462684,0.584256122317284,0.1489950130292035,0.08721902054520922,0.7178418708838606,0.847342244487166,0.7772347639187116,0.6356369298904379,0.13112736197367106,0.08719420336084822
3,0.6091463881238884,0.5737561665169181,0.7625601557873707,0.7798325493014127,0.7710996554462236,0.6274712467214459,0.12767267628000417,0.07705677415526241,0.7443711305057483,0.8548781667920354,0.7958066809778263,0.6608628757532193,0.13025296252373963,0.07398207123353057
4,0.5732173638168825,0.5250607063509014,0.7777487554126812,0.7973139252230147,0.7874098361528454,0.6493618679808508,0.11788437219387894,0.07164530275611702,0.8433479753698114,0.7851134286004874,0.813189466047026,0.6851889357660848,0.1047602621455715,0.06273569139868837
5,0.547295231337941,0.5125051789904294,0.7905819839903008,0.8089729824592101,0.7996717698338026,0.6662108987101457,0.11070434938056753,0.06782732637787084,0.7923456567993878,0.8483523878090199,0.8193931127731006,0.6940439726299049,0.10290094161380643,0.0656580669193031
6,0.5255130525029034,0.5582752062441552,0.8002750718574978,0.8199525461824443,0.8099943304385777,0.6806642450937136,0.1046455811907392,0.06457129691172084,0.7712131292743848,0.8484247409064717,0.8079785253678945,0.6778221052815278,0.11170195390100349,0.07175479484849596
7,0.5124176157286408,0.5017427404041159,0.8086194754211374,0.8230119882390827,0.8157522654223212,0.688835809039983,0.10119015845136906,0.06255904906933461,0.8172456701333008,0.8287946511572706,0.8229796563037765,0.6992059588754096,0.10333827972310046,0.06076132225459569
8,0.49702220854409246,0.47953797733947023,0.8146145993518932,0.8311141961345143,0.8227816984396868,0.6989202249527865,0.09716813267917808,0.060290871686344845,0.8300278158722536,0.8413167770928767,0.8356341811313642,0.7176732180708641,0.0997531973080684,0.05608349826748241
9,0.4840797732401332,0.4996323403838563,0.8216031605896013,0.8354945421895211,0.8284906363004454,0.7071993142373489,0.09391840550057384,0.05843563327685409,0.7934231756698116,0.8874307885502019,0.8377981401560901,0.7208714359330467,0.09127461188153861,0.06352254249512741
10,0.47188975568211405,0.4524019913722391,0.827691373572682,0.8391267263625883,0.8333698333406374,0.7143393339372531,0.09082008459699263,0.056743264255720544,0.8515024902540025,0.841848785162375,0.8466481291359941,0.7340761608144368,0.0872688732837161,0.05332376611457296
